Game Time,Win Probability
0,0.6178
0.383333333,0.5898
0.65,0.5652
0.9,0.5363
1.583333333,0.4839
2.8,0.4533
3,0.4822
3.566666667,0.4515
4,0.4775
4.25,0.5051
4.45,0.5321
4.516666667,0.5034
4.716666667,0.531
4.866666667,0.5887
5.15,0.6164
5.3,0.6164
5.6,0.6428
5.733333333,0.6433
5.9,0.6685
6.45,0.6423
6.716666667,0.6681
7.233333333,0.641
7.466666667,0.6687
8.066666667,0.6392
8.383333333,0.6126
8.683333333,0.6693
8.983333333,0.6412
9.416666667,0.6711
9.716666667,0.697
9.85,0.7494
10.06666667,0.6968
10.71666667,0.7231
10.88333333,0.67
11.7,0.6987
11.93333333,0.724
12.11666667,0.6996
12.26666667,0.7249
12.65,0.6992
12.95,0.7271
13.03333333,0.7262
13.3,0.7528
13.85,0.7282
14.11666667,0.7529
14.23333333,0.7782
14.8,0.7989
14.9,0.7773
15.2,0.7536
15.63333333,0.8051
16.03333333,0.7846
16.58333333,0.7633
16.88333333,0.7334
17.3,0.7093
17.4,0.6743
17.75,0.7409
18.06666667,0.7106
18.5,0.6814
18.71666667,0.7108
18.91666667,0.6835
19.18333333,0.7128
19.38333333,0.7481
20,0.6775
20.18333333,0.6475
20.55,0.6817
20.71666667,0.6451
21.01666667,0.6851
21.21666667,0.7197
21.68333333,0.6833
21.75,0.7207
21.81666667,0.7535
22.08333333,0.7214
22.48333333,0.6823
22.85,0.7234
22.91666667,0.7862
23.15,0.7239
23.5,0.6853
23.68333333,0.6455
23.93333333,0.604
24.03333333,0.6435
24.25,0.7173
24.48333333,0.6671
25.05,0.6912
25.33333333,0.7435
25.66666667,0.7156
25.91666667,0.7661
26.11666667,0.8009
26.53333333,0.8364
26.93333333,0.8038
27.2,0.8403
27.6,0.8094
27.95,0.7785
28.35,0.8461
28.8,0.8753
28.93333333,0.8991
29.26666667,0.8782
29.55,0.8547
29.91666667,0.8818
30.31666667,0.9074
30.41666667,0.9259
31,0.9124
31.11666667,0.9316
31.7,0.9176
31.86666667,0.8994
32.46666667,0.942
32.66666667,0.9561
32.73333333,0.945
32.98333333,0.9583
33.5,0.9504
33.66666667,0.9377
34.16666667,0.9203
34.31666667,0.9027
34.6,0.9269
34.66666667,0.9065
35.03333333,0.9334
35.2,0.9133
35.81666667,0.8929
35.96666667,0.8599
36.56666667,0.8483
36.61666667,0.8933
36.96666667,0.9492
37.08333333,0.9135
37.43333333,0.8721
37.65,0.7976
38.31666667,0.8839
38.45,0.8925
39.25,0.8846
39.26666667,0.8822
39.76666667,0.9624
39.85,0.8548
39.86666667,0.9292
39.95,0.9973
39.95,0.9818
40,1
