game,hype,team1,team2,shortDate,gameInfo,possessions,eFG,perDrama,conference
1993,1,Missouri St.,Alabama A&M,"Saturday, December 21, 2013",Missouri St. 68  Alabama A&M 47,68,0.372641509,0.0043,Non-Conference
3224,1,Kentucky,Texas A&M,"Tuesday, January 21, 2014",Kentucky 68  Texas A&M 51,66,0.445544554,0.0043,SEC
2048,1,Buffalo,Binghamton,"Monday, December 23, 2013",Buffalo 87  Binghamton 57,63,0.5,0.0043,Non-Conference
4290,1,Cleveland St.,Illinois Chicago,"Thursday, February 13, 2014",Cleveland St. 73  Illinois Chicago 53,59,0.50462963,0.0043,Horizon League
4855,1,Wichita St.,Bradley,"Tuesday, February 25, 2014",Wichita St. 69  Bradley 49,58,0.433962264,0.0043,Missouri Valley
2081,1,Colorado,Georgia,"Saturday, December 28, 2013",Colorado 84  Georgia 70,64,0.566666667,0.0043,Non-Conference
2450,1,Northwestern St.,Lamar,"Saturday, January 4, 2014",Northwestern St. 99  Lamar 85,82,0.546153846,0.0043,Southland
3658,1,Michigan,Purdue,"Thursday, January 30, 2014",Michigan 75  Purdue 66,66,0.545045045,0.0043,Big Ten
140,1,Louisville,College of Charleston,"Saturday, November 9, 2013",Louisville 70  College of Charleston 48,63,0.431034483,0.0043,Non-Conference
2863,1,North Carolina Central,Bethune Cookman,"Monday, January 13, 2014",North Carolina Central 64  Bethune Cookman 49,62,0.453125,0.0043,MEAC
2046,1,Wichita St.,North Carolina Central,"Sunday, December 22, 2013",Wichita St. 77  North Carolina Central 66,61,0.584210526,0.0043,Non-Conference
2072,1,Seton Hall,Lafayette,"Friday, December 27, 2013",Seton Hall 90  Lafayette 58,75,0.443609023,0.0042,Non-Conference
4354,1,New Mexico,Nevada,"Saturday, February 15, 2014",New Mexico 90  Nevada 72,69,0.561983471,0.0042,Mountain West
3167,1,Colorado,USC,"Saturday, January 18, 2014",Colorado 83  USC 62,70,0.48245614,0.0042,Pac Ten
2174,1,Stanford,Cal Poly,"Sunday, December 29, 2013",Stanford 79  Cal Poly 62,66,0.490740741,0.0042,Non-Conference
1089,1,Virginia Tech,Radford,"Friday, November 29, 2013",Virginia Tech 81  Radford 56,70,0.46875,0.0042,Non-Conference
3928,1,George Washington,Duquesne,"Wednesday, February 5, 2014",George Washington 71  Duquesne 57,73,0.443478261,0.0042,A10
629,1,Michigan St.,Portland,"Monday, November 18, 2013",Michigan St. 82  Portland 67,68,0.5,0.0042,Non-Conference
2466,1,Saint Louis,Yale,"Saturday, January 4, 2014",Saint Louis 75  Yale 55,64,0.520408163,0.0042,Non-Conference
4213,1,Bucknell,Navy,"Wednesday, February 12, 2014",Bucknell 78  Navy 57,64,0.534782609,0.0042,Patriot League
2318,1,Wisconsin,Northwestern,"Thursday, January 2, 2014",Wisconsin 76  Northwestern 49,58,0.486725664,0.0042,Big Ten
3332,1,Eastern Washington,Southern Utah,"Thursday, January 23, 2014",Eastern Washington 90  Southern Utah 83,76,0.574074074,0.0042,Big Sky
3618,1,Eastern Kentucky,Tennessee Martin,"Thursday, January 30, 2014",Eastern Kentucky 89  Tennessee Martin 66,64,0.618556701,0.0042,Ohio Valley
70,1,Xavier,Gardner Webb,"Friday, November 8, 2013",Xavier 83  Gardner Webb 59,73,0.5,0.0042,Non-Conference
5267,1,Louisiana Tech,Rice,"Thursday, March 6, 2014",Louisiana Tech 70  Rice 48,57,0.541666667,0.0042,Conference USA
2057,1,Virginia,Norfolk St.,"Monday, December 23, 2013",Virginia 66  Norfolk St. 56,62,0.436842105,0.0042,Non-Conference
6061,1,Syracuse,Western Michigan,"Thursday, March 20, 2014",Syracuse 77  Western Michigan 53,64,0.476415094,0.0042,Non-Conference
3766,1,North Carolina Central,Howard,"Saturday, February 1, 2014",North Carolina Central 79  Howard 65,71,0.514563107,0.0041,MEAC
2329,1,Mississippi St.,Maryland Eastern Shore,"Thursday, January 2, 2014",Mississippi St. 77  Maryland Eastern Shore 63,65,0.496,0.0041,Non-Conference
2518,1,UCLA,USC,"Sunday, January 5, 2014",UCLA 107  USC 73,81,0.563909774,0.0041,Pac Ten
1148,1,Georgetown,Lipscomb,"Saturday, November 30, 2013",Georgetown 70  Lipscomb 49,65,0.406779661,0.0041,Non-Conference
1967,1,Florida,Fresno St.,"Saturday, December 21, 2013",Florida 66  Fresno St. 49,58,0.41588785,0.0041,Non-Conference
2479,1,Massachusetts,Miami OH,"Saturday, January 4, 2014",Massachusetts 73  Miami OH 65,70,0.531531532,0.0041,Non-Conference
4934,1,Northern Kentucky,Stetson,"Thursday, February 27, 2014",Northern Kentucky 96  Stetson 58,68,0.54587156,0.0041,Atlantic Sun
2908,1,Ohio,Ball St.,"Wednesday, January 15, 2014",Ohio 71  Ball St. 51,69,0.445,0.0041,MAC
3187,1,Hartford,UMass Lowell,"Monday, January 20, 2014",Hartford 69  UMass Lowell 51,60,0.486486486,0.0041,America East
4871,1,Coastal Carolina,Presbyterian,"Wednesday, February 26, 2014",Coastal Carolina 70  Presbyterian 51,64,0.430894309,0.0041,Big South
1911,1,San Diego St.,McNeese St.,"Saturday, December 21, 2013",San Diego St. 65  McNeese St. 36,67,0.334677419,0.0041,Non-Conference
3312,1,Memphis,Houston,"Thursday, January 23, 2014",Memphis 82  Houston 59,72,0.536363636,0.0041,American
1957,1,Indiana St.,IUPUI,"Saturday, December 21, 2013",Indiana St. 81  IUPUI 61,68,0.522727273,0.0041,Non-Conference
3970,1,North Dakota St.,IUPUI,"Thursday, February 6, 2014",North Dakota St. 66  IUPUI 60,60,0.504716981,0.0041,Summit League
568,1,Gonzaga,Oakland,"Sunday, November 17, 2013",Gonzaga 82  Oakland 67,59,0.635416667,0.004,Non-Conference
4293,1,Middle Tennessee,Tulane,"Thursday, February 13, 2014",Middle Tennessee 71  Tulane 44,62,0.404761905,0.004,Conference USA
2810,1,North Florida,Stetson,"Saturday, January 11, 2014",North Florida 74  Stetson 60,61,0.54368932,0.004,Atlantic Sun
4172,1,Arizona,Oregon St.,"Sunday, February 9, 2014",Arizona 76  Oregon St. 54,62,0.485576923,0.004,Pac Ten
1848,1,Morehead St.,South Dakota,"Thursday, December 19, 2013",Morehead St. 120  South Dakota 83,83,0.601449275,0.004,Non-Conference
4138,1,Utah,Washington St.,"Saturday, February 8, 2014",Utah 81  Washington St. 63,64,0.527522936,0.004,Pac Ten
4280,1,Michigan St.,Northwestern,"Thursday, February 13, 2014",Michigan St. 85  Northwestern 70,62,0.589285714,0.004,Big Ten
1846,1,Utah St.,Western Illinois,"Thursday, December 19, 2013",Utah St. 68  Western Illinois 52,60,0.494382022,0.004,Non-Conference
4537,1,Duke,Georgia Tech,"Tuesday, February 18, 2014",Duke 68  Georgia Tech 51,58,0.48989899,0.004,ACC
