yout
1250.26
1202.66
1160.84
1111.71
1022.63
970.61
1019.74
967.55
1011.75
1058.67
1104.57
1055.78
1102.7
1200.79
1247.88
1247.88
1292.76
1293.61
1336.45
1291.91
1335.77
1289.7
1336.79
1286.64
1241.42
1337.81
1290.04
1340.87
1384.9
1473.98
1384.56
1429.27
1339
1387.79
1430.8
1389.32
1432.33
1388.64
1436.07
1434.54
1479.76
1437.94
1479.93
1522.94
1558.13
1521.41
1481.12
1568.67
1533.82
1497.61
1446.78
1405.81
1346.31
1459.53
1408.02
1358.38
1408.36
1361.95
1411.76
1471.77
1351.75
1300.75
1358.89
1296.67
1364.67
1423.49
1361.61
1425.19
1480.95
1426.38
1359.91
1429.78
1536.54
1430.63
1365.01
1297.35
1226.8
1293.95
1419.41
1334.07
1375.04
1463.95
1416.52
1502.37
1561.53
1621.88
1566.46
1628.51
1575.98
1523.45
1638.37
1688.01
1728.47
1692.94
1652.99
1699.06
1742.58
1774.03
1751.08
1783.72
1759.92
1728.98
1801.4
1825.37
1806.5
1829.11
1815.68
1794.09
1764.51
1734.59
1775.73
1741.05
1786.78
1752.61
1717.93
1661.83
1642.11
1718.61
1813.64
1752.95
1682.57
1555.92
1702.63
1717.25
1703.82
1699.74
1836.08
1653.16
1779.64
1895.41
1869.06
1900
